"County","State","Outbreak Date","Flock Type","Flock Size"
"Ada","Idaho","05-12-2022","WOAH Non-Poultry","10"
"Chisago","Minnesota","05-12-2022","WOAH Non-Poultry","40"
"Ada","Idaho","05-11-2022","WOAH Non-Poultry","4"
"Chisago","Minnesota","05-11-2022","WOAH Poultry","160"
"Cache","Utah","05-11-2022","WOAH Non-Poultry","20"
"Pierce","Washington","05-11-2022","WOAH Non-Poultry","20"
"Clallam","Washington","05-11-2022","WOAH Non-Poultry","10"
"Clallam","Washington","05-11-2022","WOAH Non-Poultry","10"
"Berks","Pennsylvania","05-10-2022","Commercial Duck Meat Bird","37300"
"Lancaster","Pennsylvania","05-10-2022","Commercial Table Egg Layer","72300"
"Ada","Idaho","05-10-2022","WOAH Poultry","70"
"Muskegon","Michigan","05-10-2022","Commercial Turkey Meat Bird","35100"
"Todd","Minnesota","05-10-2022","WOAH Non-Poultry","50"
"Pierce","Washington","05-10-2022","WOAH Non-Poultry","20"
"Crow Wing","Minnesota","05-10-2022","WOAH Poultry","150"
"Berks","Pennsylvania","05-10-2022","Commercial Duck Breeder","23800"
"Canyon","Idaho","05-09-2022","WOAH Poultry","50"
"Spokane","Washington","05-07-2022","WOAH Non-Poultry","80"
"Barron","Wisconsin","05-07-2022","Commercial Turkey Meat Bird","20100"
"Anoka","Minnesota","05-06-2022","WOAH Non-Poultry","10"
"Oakland","Michigan","05-06-2022","WOAH Non-Poultry","50"
"Fergus","Montana","05-06-2022","WOAH Non-Poultry","20"
"Linn","Oregon","05-05-2022","WOAH Non-Poultry","90"
"Pacific","Washington","05-05-2022","WOAH Poultry","40"
"Pierce","Wisconsin","05-05-2022","WOAH Non-Poultry","30"
"Day","South Dakota","05-04-2022","WOAH Poultry","80"
"Hamlin","South Dakota","05-04-2022","WOAH Non-Poultry","20"
"Carver","Minnesota","05-04-2022","WOAH Non-Poultry","30"
"Bremer","Iowa","05-04-2022","WOAH Non-Poultry","50"
"Sauk","Wisconsin","05-03-2022","WOAH Non-Poultry","40"
"Polk","Wisconsin","05-03-2022","WOAH Non-Poultry","120"
"Beadle","South Dakota","05-03-2022","Commercial Turkey Meat Bird","56200"
"Barron","Wisconsin","05-03-2022","Commercial Turkey Meat Bird","19300"
"Chisago","Minnesota","05-03-2022","WOAH Non-Poultry","30"
"Kane","Illinois","05-03-2022","WOAH Non-Poultry","50"
"Fond Du Lac","Wisconsin","05-03-2022","WOAH Non-Poultry","20"
"Barron","Wisconsin","05-03-2022","Commercial Turkey Meat Bird","46700"
"Lyon","Minnesota","05-03-2022","Commercial Turkey Meat Bird","120300"
"Berks","Pennsylvania","05-03-2022","Commercial Duck Breeder","29600"
"Berks","Pennsylvania","05-03-2022","Commercial Duck Meat Bird","74300"
"Chisago","Minnesota","04-30-2022","WOAH Non-Poultry","60"
"Branch","Michigan","04-30-2022","WOAH Non-Poultry","20"
"Sequoyah","Oklahoma","04-30-2022","Commercial Broiler Breeder","13800"
"Chisago","Minnesota","04-30-2022","WOAH Non-Poultry","30"
"Morrison","Minnesota","04-30-2022","WOAH Non-Poultry","50"
"Stearns","Minnesota","04-29-2022","Commercial Turkey Breeder Hens","9600"
"Matanuska Susitna","Alaska","04-29-2022","WOAH Non-Poultry","30"
"Washington","Nebraska","04-29-2022","WOAH Non-Poultry","50"
"Barron","Wisconsin","04-29-2022","WOAH Non-Poultry","150"
"Oconto","Wisconsin","04-29-2022","WOAH Non-Poultry","220"
"Fergus","Montana","04-29-2022","WOAH Non-Poultry","110"
"Gallatin","Montana","04-29-2022","WOAH Non-Poultry","20"
"Pondera","Montana","04-29-2022","WOAH Non-Poultry","2000"
"Lancaster","Pennsylvania","04-29-2022","Commercial Duck Meat Bird","19300"
"Weld","Colorado","04-29-2022","Commercial Table Egg Layer","1366200"
"Carver","Minnesota","04-28-2022","WOAH Non-Poultry","20"
"Johnson","Indiana","04-28-2022","WOAH Non-Poultry","40"
"Barron","Wisconsin","04-28-2022","Commercial Turkey Meat Bird","110700"
"Wexford","Michigan","04-28-2022","WOAH Poultry","70"
"Caledonia","Vermont","04-28-2022","WOAH Non-Poultry","30"
"Swift","Minnesota","04-28-2022","WOAH Non-Poultry","20"
"Lancaster","Pennsylvania","04-27-2022","Commercial Broiler Breeder Pullets","18100"
"Knox","Nebraska","04-27-2022","Commercial Table Egg Layer","2118000"
"Saginaw","Michigan","04-27-2022","WOAH Non-Poultry","80"
"Republic","Kansas","04-27-2022","WOAH Poultry","110"
"Lancaster","Pennsylvania","04-26-2022","Commercial Table Egg Layer","307400"
"Kossuth","Iowa","04-26-2022","WOAH Non-Poultry","4"
"Missoula","Montana","04-26-2022","WOAH Non-Poultry","70"
"Richland","North Dakota","04-26-2022","WOAH Poultry","20"
"Rice","Minnesota","04-25-2022","WOAH Non-Poultry","90"
"Menominee","Michigan","04-25-2022","WOAH Non-Poultry","40"
"Cache","Utah","04-25-2022","Commercial Table Egg Layer","1501200"
"Stearns","Minnesota","04-25-2022","Commercial Turkey Meat Bird","14600"
"Polk","Wisconsin","04-23-2022","WOAH Non-Poultry","40"
"Lancaster","Pennsylvania","04-22-2022","Commercial Broiler Production","50300"
"Otter Tail","Minnesota","04-22-2022","Commercial Turkey Meat Bird","27300"
"Yellow Medicine","Minnesota","04-22-2022","Commercial Turkey Meat Bird","49500"
"Swift","Minnesota","04-22-2022","Commercial Turkey Meat Bird","127400"
"Todd","Minnesota","04-21-2022","Commercial Turkey Meat Bird","37000"
"Richland","North Dakota","04-21-2022","Commercial Turkey Meat Bird","27500"
"Todd","Minnesota","04-21-2022","Commercial Turkey Meat Bird","19700"
"Renville","North Dakota","04-21-2022","WOAH Non-Poultry","70"
"Morrison","Minnesota","04-21-2022","Commercial Turkey Meat Bird","40900"
"Bremer","Iowa","04-21-2022","Commercial Turkey Meat Bird","29200"
"Lancaster","Pennsylvania","04-20-2022","Commercial Table Egg Layer","879400"
"Todd","Minnesota","04-20-2022","Commercial Turkey Meat Bird","30300"
"Stearns","Minnesota","04-20-2022","Commercial Turkey Meat Bird","62800"
"Madison","Idaho","04-20-2022","WOAH Poultry","200"
"Glacier","Montana","04-20-2022","WOAH Poultry","54200"
"Lancaster","Pennsylvania","04-20-2022","Commercial Table Egg Layer","1127700"
"Stearns","Minnesota","04-20-2022","Commercial Turkey Meat Bird","72000"
"Todd","Minnesota","04-20-2022","Commercial Turkey Meat Bird","30100"
"Elkhart","Indiana","04-20-2022","Commercial Duck Meat Bird","6600"
"Meeker","Minnesota","04-19-2022","Commercial Turkey Meat Bird","53000"
"Kandiyohi","Minnesota","04-19-2022","Commercial Turkey Meat Bird","35700"
"Kandiyohi","Minnesota","04-19-2022","Commercial Turkey Meat Bird","38700"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","58100"
"Gooding","Idaho","04-19-2022","WOAH Non-Poultry","80"
"La Plata","Colorado","04-19-2022","WOAH Poultry","40"
"Otter Tail","Minnesota","04-19-2022","Commercial Turkey Meat Bird","29700"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","47700"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","17600"
"Stutsman","North Dakota","04-19-2022","WOAH Poultry","20"
"Montrose","Colorado","04-19-2022","Commercial Broiler Breeder","58000"
"Swift","Minnesota","04-19-2022","Commercial Turkey Meat Bird","31600"
"Menominee","Michigan","04-16-2022","WOAH Non-Poultry","30"
"Lancaster","Pennsylvania","04-15-2022","Commercial Table Egg Layer","1380500"
"Livingston","Michigan","04-15-2022","WOAH Non-Poultry","20"
"Polk","Wisconsin","04-15-2022","Commercial Turkey Meat Bird","22000"
"Macomb","Michigan","04-15-2022","WOAH Non-Poultry","40"
"Utah","Utah","04-15-2022","WOAH Non-Poultry","7"
"Lamoure","North Dakota","04-14-2022","WOAH Non-Poultry","10"
"Columbia","Wisconsin","04-14-2022","WOAH Non-Poultry","70"
"Gooding","Idaho","04-14-2022","WOAH Poultry","20"
"Blue Earth","Minnesota","04-14-2022","Commercial Turkey Meat Bird","26400"
"Meeker","Minnesota","04-14-2022","Commercial Turkey Meat Bird","73200"
"Caribou","Idaho","04-14-2022","WOAH Non-Poultry","7"
"Elkhart","Indiana","04-14-2022","Commercial Duck Breeder","6400"
"Sheboygan","Wisconsin","04-14-2022","WOAH Non-Poultry","20"
"Menominee","Michigan","04-13-2022","WOAH Poultry","350"
"Blue Earth","Minnesota","04-13-2022","Commercial Turkey Meat Bird","22700"
"Barnes","North Dakota","04-13-2022","WOAH Poultry","90"
"Waseca","Minnesota","04-13-2022","Commercial Turkey Meat Bird","20300"
"Deuel","South Dakota","04-13-2022","Commercial Upland Gamebird Producer","1400"
"Benton","Minnesota","04-13-2022","WOAH Non-Poultry","7"
"Mcpherson","Kansas","04-13-2022","Commercial Turkey Breeder Hens","6900"
"Otter Tail","Minnesota","04-13-2022","Commercial Turkey Meat Bird","35700"
"Barron","Wisconsin","04-12-2022","Commercial Turkey Meat Bird","46500"
"Yellow Medicine","Minnesota","04-12-2022","Commercial Turkey Meat Bird","44800"
"Dixon","Nebraska","04-12-2022","Commercial Table Egg Layer","1746900"
"Morrison","Minnesota","04-12-2022","Commercial Table Egg Layer","216200"
"Benton","Minnesota","04-12-2022","WOAH Non-Poultry","130"
"Toole","Montana","04-12-2022","WOAH Non-Poultry","20"
"Kandiyohi","Minnesota","04-12-2022","Commercial Turkey Meat Bird","37100"
"Morrison","Minnesota","04-12-2022","Commercial Turkey Meat Bird","37600"
"Sheridan","North Dakota","04-12-2022","WOAH Non-Poultry","30"
"Morrison","Minnesota","04-12-2022","Commercial Broiler Production","42900"
"Wayne","North Carolina","04-12-2022","Commercial Broiler Production","89700"
"Menominee","Michigan","04-11-2022","WOAH Non-Poultry","70"
"Stearns","Minnesota","04-09-2022","Commercial Turkey Meat Bird","26100"
"Swift","Minnesota","04-09-2022","Commercial Turkey Meat Bird","130900"
"Le Sueur","Minnesota","04-09-2022","Commercial Turkey Meat Bird","37800"
"Yankton","South Dakota","04-09-2022","Commercial Turkey Meat Bird","76100"
"Otter Tail","Minnesota","04-08-2022","Commercial Turkey Meat Bird","29900"
"Renville","Minnesota","04-08-2022","Commercial Turkey Meat Bird","76400"
"Pitkin","Colorado","04-08-2022","WOAH Poultry","30"
"Edmunds","South Dakota","04-08-2022","Commercial Turkey Meat Bird","36400"
"Stutsman","North Dakota","04-08-2022","WOAH Poultry","40"
"Clark","South Dakota","04-08-2022","Commercial Turkey Meat Bird","38700"
"Elkhart","Indiana","04-08-2022","Commercial Duck Breeder","4700"
"Judith Basin","Montana","04-07-2022","WOAH Non-Poultry","20"
"Wayne","North Carolina","04-07-2022","Commercial Turkey Meat Bird","18500"
"Kandiyohi","Minnesota","04-07-2022","Commercial Turkey Breeder Hens","20800"
"Racine","Wisconsin","04-07-2022","WOAH Poultry","220"
"Cascade","Montana","04-07-2022","WOAH Poultry","22000"
"Wayne","North Carolina","04-06-2022","Commercial Broiler Production","65600"
"Mcpherson","South Dakota","04-06-2022","Commercial Turkey Meat Bird","45900"
"Wayne","North Carolina","04-06-2022","Commercial Broiler Production","216000"
"Waseca","Minnesota","04-06-2022","Commercial Turkey Meat Bird","17900"
"Park","Wyoming","04-06-2022","WOAH Non-Poultry","100"
"Fulton","New York","04-06-2022","WOAH Non-Poultry","4"
"Dade","Missouri","04-06-2022","Commercial Turkey Meat Bird","14000"
"Morrison","Minnesota","04-05-2022","Commercial Turkey Meat Bird","26200"
"Morrison","Minnesota","04-05-2022","Commercial Turkey Meat Bird","105300"
"Spink","South Dakota","04-05-2022","Commercial Turkey Meat Bird","26300"
"Waseca","Minnesota","04-05-2022","Commercial Turkey Meat Bird","25500"
"Beadle","South Dakota","04-05-2022","Commercial Turkey Meat Bird","55600"
"Meeker","Minnesota","04-05-2022","Commercial Turkey Meat Bird","128500"
"Cass","North Dakota","04-05-2022","WOAH Non-Poultry","110"
"Scotts Bluff","Nebraska","04-05-2022","WOAH Non-Poultry","30"
"Waldo","Maine","04-05-2022","WOAH Non-Poultry","50"
"Orleans","New York","04-05-2022","WOAH Poultry","30"
"Sheridan","Wyoming","04-05-2022","WOAH Non-Poultry","50"
"Faulk","South Dakota","04-05-2022","Commercial Turkey Meat Bird","48000"
"Wayne","North Carolina","04-05-2022","Commercial Turkey Meat Bird","14200"
"Lawrence","Missouri","04-05-2022","Commercial Turkey Meat Bird","27600"
"Clark","South Dakota","04-05-2022","Commercial Turkey Meat Bird","24000"
"Stearns","Minnesota","04-05-2022","Commercial Turkey Meat Bird","40800"
"Hardin","Iowa","04-05-2022","Commercial Turkey Meat Bird","46000"
"Big Stone","Minnesota","04-05-2022","Commercial Turkey Meat Bird","49500"
"Lamoure","North Dakota","04-04-2022","Commercial Turkey Meat Bird","50900"
"Becker","Minnesota","04-04-2022","Commercial Turkey Meat Bird","44700"
"Kandiyohi","Minnesota","04-04-2022","Commercial Turkey Breeder Hens","48500"
"Morrison","Minnesota","04-04-2022","Commercial Turkey Meat Bird","32400"
"Hamilton","Iowa","04-04-2022","Commercial Turkey Poult Supplier","8100"
"Mcpherson","South Dakota","04-04-2022","Commercial Turkey Meat Bird","61000"
"Kandiyohi","Minnesota","04-04-2022","Commercial Turkey Meat Bird","38500"
"Kandiyohi","Minnesota","04-04-2022","Commercial Turkey Breeder Hens","20400"
"Dodge","Minnesota","04-03-2022","Commercial Turkey Meat Bird","20000"
"Le Sueur","Minnesota","04-03-2022","Commercial Turkey Meat Bird","19600"
"Erath","Texas","04-03-2022","Commercial Upland Gamebird Producer","1700"
"Stearns","Minnesota","04-02-2022","Commercial Turkey Meat Bird","27600"
"Lamoure","North Dakota","04-02-2022","Commercial Turkey Meat Bird","27400"
"Wayne","North Carolina","04-02-2022","Commercial Turkey Meat Bird","16900"
"Spink","South Dakota","04-02-2022","Commercial Turkey Meat Bird","41800"
"Lake","South Dakota","04-02-2022","Commercial Turkey Meat Bird","59000"
"Sac","Iowa","04-02-2022","Commercial Turkey Meat Bird","37200"
"Johnston","North Carolina","04-02-2022","Commercial Turkey Meat Bird","9500"
"Humboldt","Iowa","04-02-2022","Commercial Table Egg Breeder","15300"
"Johnston","North Carolina","04-02-2022","Commercial Turkey Meat Bird","18900"
"Edmunds","South Dakota","04-01-2022","Commercial Turkey Breeder Replacement Hens","30600"
"Dickey","North Dakota","04-01-2022","Commercial Turkey Meat Bird","60700"
"Rock","Wisconsin","04-01-2022","WOAH Non-Poultry","20"
"Charles Mix","South Dakota","04-01-2022","Commercial Turkey Meat Bird","81500"
"Fremont","Wyoming","04-01-2022","WOAH Non-Poultry","50"
"Jasper","Missouri","04-01-2022","Commercial Turkey Meat Bird","35300"
"Mcpherson","South Dakota","03-31-2022","Commercial Turkey Breeder Hens","26000"
"Stearns","Minnesota","03-31-2022","WOAH Non-Poultry","150"
"Dickey","North Dakota","03-31-2022","WOAH Poultry","30"
"Cherokee","Iowa","03-31-2022","Commercial Turkey Meat Bird","88000"
"Morrison","Minnesota","03-31-2022","Commercial Turkey Meat Bird","52600"
"Carroll","Illinois","03-31-2022","WOAH Non-Poultry","40"
"Osceola","Iowa","03-31-2022","Commercial Table Egg Layer","5011700"
"Lincoln","Maine","03-30-2022","WOAH Non-Poultry","3"
"Brule","South Dakota","03-30-2022","Commercial Turkey Meat Bird","55100"
"Buena Vista","Iowa","03-30-2022","Commercial Turkey Meat Bird","35600"
"Park","Wyoming","03-30-2022","WOAH Non-Poultry","40"
"Spink","South Dakota","03-29-2022","Commercial Turkey Meat Bird","45900"
"Kandiyohi","Minnesota","03-29-2022","Commercial Turkey Meat Bird","39500"
"Johnson","Wyoming","03-29-2022","WOAH Non-Poultry","40"
"Kidder","North Dakota","03-29-2022","WOAH Poultry","30"
"Monroe","New York","03-29-2022","WOAH Poultry","400"
"Johnston","North Carolina","03-29-2022","Commercial Turkey Meat Bird","32100"
"Knox","Maine","03-29-2022","WOAH Non-Poultry","40"
"Franklin","Ohio","03-29-2022","WOAH Non-Poultry","8"
"Bon Homme","South Dakota","03-29-2022","Commercial Turkey Meat Bird","48200"
"Berkshire","Massachusetts","03-29-2022","WOAH Non-Poultry","260"
"Edmunds","South Dakota","03-29-2022","Commercial Turkey Breeder Hens","21900"
"Lac Qui Parle","Minnesota","03-29-2022","Commercial Turkey Meat Bird","22500"
"Hamilton","Iowa","03-28-2022","Commercial Turkey Meat Bird","25800"
"Guthrie","Iowa","03-28-2022","Commercial Table Egg Layer","1460000"
"Mcpherson","South Dakota","03-27-2022","Commercial Turkey Meat Bird","43900"
"Hutchinson","South Dakota","03-27-2022","Commercial Turkey Meat Bird","39200"
"Clark","South Dakota","03-27-2022","Commercial Turkey Meat Bird","43100"
"Meeker","Minnesota","03-26-2022","Commercial Turkey Meat Bird","287500"
"Washington","Maine","03-26-2022","WOAH Non-Poultry","20"
"Stearns","Minnesota","03-26-2022","Commercial Turkey Meat Bird","23500"
"Bon Homme","South Dakota","03-26-2022","WOAH Non-Poultry","230"
"Mower","Minnesota","03-26-2022","WOAH Non-Poultry","20"
"Holt","Nebraska","03-26-2022","WOAH Non-Poultry","50"
"Gentry","Missouri","03-26-2022","WOAH Non-Poultry","140"
"Franklin","Iowa","03-25-2022","Commercial Table Egg Pullets","250200"
"Hutchinson","South Dakota","03-25-2022","Commercial Turkey Meat Bird","45800"
"Suffolk","New York","03-25-2022","WOAH Poultry","290"
"Mitchell","Kansas","03-25-2022","WOAH Non-Poultry","20"
"Jerauld","South Dakota","03-24-2022","Commercial Turkey Meat Bird","44000"
"Macomb","Michigan","03-24-2022","WOAH Non-Poultry","70"
"Buena Vista","Iowa","03-24-2022","Commercial Turkey Meat Bird","53800"
"Butler","Nebraska","03-24-2022","Commercial Broiler Production","418500"
"Suffolk","New York","03-23-2022","Commercial Upland Gamebird Producer","8500"
"Kingsbury","South Dakota","03-23-2022","Commercial Table Egg Layer","120300"
"Beadle","South Dakota","03-23-2022","Commercial Turkey Meat Bird","49900"
"Edmunds","South Dakota","03-23-2022","Commercial Turkey Breeder Hens","30800"
"Hanson","South Dakota","03-22-2022","Commercial Turkey Meat Bird","94600"
"Butler","Nebraska","03-22-2022","Commercial Broiler Production","570000"
"Beadle","South Dakota","03-22-2022","Commercial Turkey Meat Bird","29400"
"Cumberland","Maine","03-22-2022","WOAH Poultry","250"
"Charles Mix","South Dakota","03-22-2022","Commercial Turkey Meat Bird","53800"
"Warren","Iowa","03-20-2022","WOAH Non-Poultry","10"
"Hutchinson","South Dakota","03-20-2022","Commercial Turkey Meat Bird","50400"
"York","Maine","03-19-2022","WOAH Non-Poultry","70"
"Knox","Maine","03-19-2022","WOAH Non-Poultry","20"
"Dickinson","Kansas","03-18-2022","WOAH Poultry","250"
"Kingsbury","South Dakota","03-18-2022","Commercial Turkey Meat Bird","39200"
"Hanson","South Dakota","03-18-2022","Commercial Turkey Meat Bird","20200"
"Cecil","Maryland","03-18-2022","Commercial Table Egg Pullets","315400"
"Buena Vista","Iowa","03-17-2022","Commercial Table Egg Layer","5347500"
"Kent","Delaware","03-17-2022","Commercial Broiler Production","147800"
"Lincoln","Maine","03-17-2022","WOAH Non-Poultry","30"
"Sedgwick","Kansas","03-17-2022","WOAH Non-Poultry","6"
"Rockingham","New Hampshire","03-16-2022","WOAH Non-Poultry","150"
"Ralls","Missouri","03-15-2022","WOAH Non-Poultry","100"
"Merrick","Nebraska","03-15-2022","WOAH Non-Poultry","90"
"York","Maine","03-14-2022","WOAH Non-Poultry","180"
"Jefferson","Wisconsin","03-14-2022","Commercial Table Egg Layer","2750700"
"Lincoln","Maine","03-12-2022","WOAH Non-Poultry","100"
"Charles Mix","South Dakota","03-12-2022","Commercial Turkey Meat Bird","37500"
"Franklin","Kansas","03-11-2022","WOAH Poultry","260"
"Mclean","Illinois","03-11-2022","WOAH Non-Poultry","40"
"Taylor","Iowa","03-10-2022","Commercial Table Egg Layer","915900"
"Cecil","Maryland","03-10-2022","Commercial Table Egg Layer","663400"
"Lawrence","Missouri","03-09-2022","Commercial Turkey Breeder Replacement Hens","37800"
"Jasper","Missouri","03-08-2022","Commercial Turkey Meat Bird","25000"
"New Castle","Delaware","03-08-2022","Commercial Table Egg Pullets","243900"
"Queen Anne's","Maryland","03-08-2022","Commercial Broiler Production","139300"
"Buena Vista","Iowa","03-06-2022","Commercial Turkey Meat Bird","49800"
"Charles Mix","South Dakota","03-05-2022","Commercial Turkey Meat Bird","44100"
"Stoddard","Missouri","03-04-2022","Commercial Broiler Production","294800"
"Bates","Missouri","03-04-2022","WOAH Non-Poultry","50"
"Cecil","Maryland","03-04-2022","Commercial Table Egg Layer","644000"
"Dubois","Indiana","03-02-2022","Commercial Turkey Meat Bird","16500"
"Pottawattamie","Iowa","03-01-2022","WOAH Non-Poultry","40"
"New London","Connecticut","03-01-2022","WOAH Non-Poultry","160"
"Dubois","Indiana","02-24-2022","Commercial Turkey Meat Bird","36000"
"Ulster","New York","02-24-2022","WOAH Non-Poultry","70"
"Dutchess","New York","02-24-2022","WOAH Non-Poultry","200"
"Greene","Indiana","02-23-2022","Commercial Turkey Meat Bird","48200"
"Knox","Maine","02-23-2022","WOAH Non-Poultry","100"
"Kalamazoo","Michigan","02-23-2022","WOAH Non-Poultry","30"
"Greene","Indiana","02-23-2022","Commercial Turkey Meat Bird","15400"
"New Castle","Delaware","02-22-2022","Commercial Table Egg Layer","1046900"
"Knox","Maine","02-19-2022","WOAH Non-Poultry","30"
"Suffolk","New York","02-18-2022","WOAH Non-Poultry","8"
"Dubois","Indiana","02-16-2022","Commercial Turkey Meat Bird","26600"
"Webster","Kentucky","02-15-2022","Commercial Turkey Meat Bird","53300"
"Fulton","Kentucky","02-12-2022","Commercial Broiler Production","231400"
"Fauquier","Virginia","02-12-2022","WOAH Non-Poultry","90"
"Dubois","Indiana","02-08-2022","Commercial Turkey Meat Bird","29000"
"Weld","Colorado","01-06-2023","WOAH Non-Poultry","40"
"Thurston","Washington","01-06-2023","WOAH Non-Poultry","120"
"Codington","South Dakota","01-05-2023","WOAH Poultry","140"
"Anderson","Kansas","01-04-2023","Commercial Upland Gamebird Producer","8900"
"Josephine","Oregon","01-04-2023","WOAH Non-Poultry","30"
"Johnson","Missouri","01-04-2023","WOAH Non-Poultry","30"
